id,recetteid,unit,quantite,ingredient
170,20,"grosse, boîte",1.0,haricots rouges
171,20,cuillères à café,2.0,cumin en poudre
172,20,cuillère à café,1.0,chili
173,20,,2.0,oignons
174,20,g,50.0,beurre
175,20,gousses,2.0,ail
176,20,g,500,boeuf haché
177,20,g,65.0,concentré de tomates
178,2566,,,muscade
179,2566,,,poivre
180,2566,,,sel
181,2566,g,50.0,beurre
182,2566,g,50.0,farine
183,2566,,60.0,cllait
184,21,,,sel
185,21,,,poivre
186,21,,,huile d'olive
187,21,,5.0,oignons
188,21,,2.0,pavés saumon
189,21,,1.0,citron
190,21,"verre, blanc",1.0,vin
191,21,,,câpres
192,22,,,sel
193,22,,,poivre
194,22,cuillères à soupe,5.0,huile d'olive
195,22,doses,3.0,safran
196,22,,2.0,oignons
197,22,kg,1.0,tomate
198,22,,2.0,poivrons
199,22,g,500.0,riz
200,22,"kg, filet",1.0,de poulet
201,22,g,500.0,calamar
202,22,,1,lmoules
203,22,,15.0,crevettes
204,22,,1,chorizo
205,22,gousses,3,ail
206,22,,1.0,lbouillon de volaille
207,23,,,romarin
208,23,,,thym
209,23,,,poivre
210,23,,,fleur de sel
211,23,cl,5.0,huile d'olive
212,23,,,harissa
213,23,kg,1.5,épaule d'agneau
214,23,,12.0,échalotes
215,23,gousses,8.0,ail
216,24,,,sel
217,24,,,poivre
218,24,cuillères à soupe,4.0,miel
219,24,cuillères à soupe,10.0,huile d'olive
220,24,branches,6.0,thym
221,24,,4.0,souris d'agneau
222,24,,1.0,ail
223,25,bol,0.5,vinaigre
224,25,bols,2.0,sucre
225,25,bols,4.0,eau
226,25,bol,1.0,nuoc mam
227,25,sachet,1.0,vermicelles de riz
228,25,,,sel
229,25,,,poivre
230,25,cuillère à soupe,1.0,curry
231,25,g,700.0,boeuf
232,25,gousse,1.0,ail
233,25,cuillères à soupe,3,sauce d'huître
234,25,cuillères,3.0,soja
235,25,cuillère à café,1,glutamate
236,25,,,coriandre
237,25,,,batavia
238,25,g,300.0,soja
239,25,,,menthe
240,25,,,arachide
241,25,,8.0,nems
242,26,,1.0,côte de boeuf
243,26,,,huile
244,26,,,fleur de sel
245,26,,,poivre
246,26,brins,5.0,thym
247,27,,,sel
248,27,,,poivre
249,27,,,muscade
250,27,cuillère à soupe,1.0,miel
251,27,g,30.0,beurre
252,27,,,huile d'olive
253,27,,1.0,oignon
254,27,,5.0,tomates
255,27,,2.0,aubergines
256,27,,6.0,pommes de terre
257,27,g,500,boeuf haché
258,27,cuillère,1.0,petite cannelle
259,27,cuillères à soupe,3,farine
260,27,g,20,beurre
261,27,,35.0,cllait
262,28,filet,1.0,huile d'olive
263,28,,,sel
264,28,,,poivre
265,28,g,25.0,beurre
266,28,,1.0,rôti de porc
267,28,gousse,1.0,ail
268,28,cl,5.0,eau
269,29,pincée,1.0,poivre
270,29,pincée,1.0,sel
271,29,brins,2.0,persil
272,29,,1.0,oignon
273,29,bouillon,1.0,de légumes
274,29,noix,1.0,beurre
275,29,filet,1.0,huile d'olive
276,29,g,250.0,champignon
277,29,g,200.0,riz
278,29,"cl, blanc",20.0,vin sec
279,29,cuillère à soupe,1,Parmesan
280,29,gousse,1.0,ail
281,29,,1,échalote
282,30,cuillère à café,1.0,persil
283,30,cuillères à soupe,2.0,huile d'olive
284,30,,,sel
285,30,,,poivre
286,30,goutte,,tabasco
287,30,cuillère à soupe,1.0,oignon
288,30,cuillère à café,1.0,moutarde de Dijon
289,30,g,250.0,boeuf
290,30,,1.0,jaune d'oeuf
