recette_id,unit,quantity,ingredient
2647,,5,vodka
2647,cuillère à soupe,1,cassonade
2647,,0.5,citron vert
2648,,,café
2648,,,lait
2649,gousse,1,vanille
2649,,,muscade
2649,,6,clous de girofle
2649,,1,rhum
2649,,1,jus d'orange
2649,,1,jus d'ananas
2649,,1,jus de banane
2649,cuillère à café,0.5,cannelle
2649,,1,citron vert
2650,,1,yaourt
2650,,200,fruits rouges
2650,,20,fruits
2650,,1,glace vanille
2651,,1,sucre
2651,gousses,2,vanille
2651,,2,oranges
2651,,5,vin rouge
2651,,1,eau
2651,,2,citrons
2652,,1,sirop de grenadine
2652,,1,crème de whisky (baileys)
2652,,3,vodka
2653,pincée,1,muscade
2653,cuillère à soupe,1,eau de fleur d'oranger
2653,,10,framboises
2653,cuillères à soupe,3,sirop d'agave
2653,cuillère à café,1,arôme vanille
2653,,1,vin blanc
2653,cuillère à café,1,cannelle
2653,,3,jus de fruits rouges
2654,,2,clous de girofle
2654,,3,cardamome
2654,cuillère à café,1,gingembre
2654,,100,miel
2654,,1,vin rouge
2654,,10,cannelle
2655,,0.5,sirop de menthe
2655,,10,jus d'oranges
2655,,3,"liqueur de pommes (manzana, manzanita)"
2656,,250,menthe
2656,,1,Alcool
2656,,1,sucre en morceaux
2656,,50,eau
2656,cuillère à soupe,1,sirop de menthe
2657,cuillère à café,1,sel
2657,pots,4,yaourt nature
2657,pots,5,eau
2658,,60,sucre de canne
2658,,130,riz
2658,,100,amandes
2658,,500,eau
2658,,2,cannelle
2659,cuillères à café,12,sucre
2659,zeste,1,orange
2659,,60,café
2659,,40,eau
2659,zeste,1,citron
2660,,6,sucre semoule
2660,,6,rhubarbe
2660,,2,eau
2661,grosse,1,miel
2661,,,gingembre
2661,gousse,1,ail
2661,,,citron
2662,,2,champagne
2662,,25,sirop de sucre de canne
2662,verre,1,cointreau
2662,,750,framboises
2663,,1.5,gingembre
2663,,1,betterave
2663,,2,pommes
2664,,1,sucre
2664,,1.25,fraises
2665,,,"energy drink (red bull, pitbull, duff)"
2665,,3,vodka
2666,,1,banane
2666,,1,orange
2666,,50,limonade
2666,,1.5,jus d'orange
2666,,1.5,jus d'ananas
2666,,75,sirop de sucre de canne
2666,,2,citrons verts
2666,,1,pomme
2666,,1,poire
2666,,1,pêche
2666,,1,ananas
2666,,,fruits
2667,cuillères à soupe,2,sucre
2667,cuillère à soupe,1,miel
2667,,1,citron
2667,,0.5,eau
2668,,2,sucre de canne
2668,,5,whisky
2668,,1,citron
2668,,,glaçons
2669,,4,rhum blanc
2669,,,"limonade (soda, sprite, 7up)"
2669,,6,jus d'ananas
2669,,2,sirop de sucre de canne
2669,,2,curaçao bleu
2669,,1,jus citron
2670,,5,gin
2670,,1,"vermouth dry (martini, noilly prat)"
2671,,,rhum
2671,,,sirop de cassis
2672,,1,clou de girofle
2672,morceaux,5,sucre
2672,pincée,1,poivre
2672,cuillère à café,1,gingembre
2672,botte,1,menthe
2673,,750,sucre
2673,,2,clous de girofle
2673,,1,cassis
2673,poignée,1,feuilles de cassis
2673,,200,framboises
2673,,1,Alcool
2673,,2,cannelle
2673,,1,eau
2674,,50,vin rouge
2674,,50,citron
2674,,,glaçons
2675,,1,mirabelle
2675,,1,Alcool
2675,,1,sirop
2676,,5,glaçons
2676,,0.25,pastèque
2676,cuillère à soupe,1,sirop de grenadine
2677,cuillères à soupe,6,sucre
2677,,1,carotte
2677,,2,eau
2677,,,citron
2677,pots,2,yaourt aromatisé
2678,,300,sucre en poudre
2678,,1,orange
2678,,50,Alcool
2678,,70,eau
2679,cuillères à soupe,20,sucre
2679,,6,oranges
2679,,4,vin rouge
2679,bouteille,1,gin
2679,,7,pêches
2679,,3,poires
2679,,3,pommes
2679,,3,citrons
2679,bâtons,4,cannelle
2680,,5,sucre
2680,,1,vin rosé
2680,verre,1,eau
2680,,20,feuilles de pêcher
2681,cuillères à soupe,2,sucre
2681,,400,fraises
2681,,,glace pilée
2681,,2,citrons verts
2681,,20,téquila
2681,,12,cointreau
2682,,500,sucre
2682,,1.5,groseilles
2682,,1,eau
2683,,4,melons
2683,,1.5,sucre roux
2683,,6,vin rosé
2683,,0.5,Alcool
2683,,1,pastèque
2684,,7,vodka
2684,gouttes,5,"vermouth dry (martini, noilly prat)"
2685,cuillère à café,1,sucre
2685,,2,grenades
2685,,4,clémentines
2686,,,fraises
2686,,1,banane
2686,,12,abricots
2686,,6,clous de girofle
2686,gousse,1,vanille
2686,,4,oranges
2686,,15,cognac
2686,,5,vin rosé
2686,,15,sirop de sucre de canne
2686,,4,citrons
2686,bâtons,3,cannelle
2686,,4,pêches
2686,,4,pommes
2686,,500,cerises
2686,branche,,menthe
2686,,1,eau
2687,,1,eau
2687,tranches,10,concombre
2687,branches,5,menthe
2687,,,glaçons
2688,cuillères à soupe,2,thé
2688,cuillères à soupe,2,thé
2688,cuillère à soupe,1,thé
2689,verre,1,liqueur
2689,,1,Expresso
2689,dose,1,crème chantilly
2690,poignées,3,menthe
2690,,1.5,eau
2691,,0.5,banane
2691,,20,sucre de canne
2691,,30,limonade
2691,,25,jus d'orange
2691,,25,jus d'ananas
2691,,0.5,pomme
2691,,0.5,poire
2691,,0.5,ananas
2692,,8,oranges
2692,cuillères à soupe,2,sucre
2692,,2,orange
2692,,3,sangria
2692,,,citron
2692,,4,pommes
2692,,4,pommes
2692,,4,nectarines
2692,,1,raisin noir
2693,,100,sucre de canne
2693,,30,café
2693,,1,glace vanille
2693,cuillère à café,1,sucre brun
2694,,10,jus d'ananas
2694,,6,jus de fruit de la passion (maracuja)
2694,,2,sirop de grenadine
2694,,1,jus de citrons
2695,,,étoile de badiane
2695,,1,orange
2695,,,sucre
2695,,1,vin
2695,,0.5,eau
2695,,1,citron
2695,,,épices à vin chaud
2695,bâtons,2,cannelle
2696,,1,sucre
2696,,10,cardamome
2696,cuillère à soupe,1,gingembre
2696,cuillère à café,1,cannelle
2696,,1,eau
2696,,4,lait
2696,,0.5,thé
2697,,500,sucre
2697,,1,guigne
2697,,50,Alcool
2697,,50,eau
2698,,500,sucre
2698,,5,citrons
2698,,1,Alcool
2698,,1.5,eau
2699,gousse,1,vanille
2699,,70,rhum
2699,,0.5,ananas
2699,,1,kiwi
2700,,400,sucre en poudre
2700,,4,oranges
2700,,20,racine de gentiane
2700,,1,citron
2700,,2,vin blanc sec
2700,,50,eau
2701,,1,sucre
2701,,75,bordeaux
2701,,400,framboises
2702,,,rhum
2702,gousse,1,vanille
2702,,10,sucre roux
2702,,4,bananes
2702,,,cannelle
2703,,4,purée de pêche
2703,,0.5,sirop de sucre de canne
2703,,,champagne
2704,,100,sucre
2704,,75,Alcool
2704,,40,baies de myrte
2704,,15,eau
2705,morceaux,44,sucre
2705,,1,orange
2705,,44,café
2705,,75,eau
2706,,6,cognac
2706,,3,cointreau
2706,,1.5,jus de citron
2707,,1.5,sucre
2707,,1,citron
2707,,50,eau
2708,,6,levure
2708,,25,vinaigre
2708,,30,Fleurs
2708,,30,Fleurs
2708,,25,fleur de sureau
2708,,2,cassonade
2708,,50,eau
2709,cuillères à soupe,4,sirop de grenadine
2709,,50,limonade
2709,,50,cidre
2709,,4,glaçons
2710,,250,sucre
2710,,,prunelle
2710,,1,eau
2711,,250,pruneau
2711,,700,eau
2712,cuillère à soupe,1,sucre
2712,,1,kiwi
2712,verre,0.6666667,glaçons
2712,verre,0.3333333,eau
2712,cuillères à soupe,3,kiwi
2713,tasse,0.5,fraises
2713,,0.5,sucre
2713,,5,rhum blanc
2713,,2,liqueur de fraises
2713,,3,jus de citrons
2714,cuillère à soupe,1,miel
2714,,1,gingembre
2714,,25,eau
2714,,0.5,citron
2715,morceau,1,sucre
2715,,5,whisky
2715,,15,eau gazeuse
2715,,,zeste d'orange
2715,,2,angostura bitters
2716,,5,gingembre
2716,,250,ananas
2716,,1,pomme
2716,,1,citron
2716,poignée,1,épinards frais
2717,,4,bananes
2717,,6,kiwis
2717,,10,glaçons
2718,,,lait
2718,,,sucre vanillé
2719,,350,sucre
2719,,1,cerises
2719,,1,eau
2720,,1,rhum
2720,,1,jus de framboise
2720,,1,jus de fraise
2720,,1,jus de fruits rouges
2720,,1,sirop de sucre de canne
2720,,200,fruits rouges
2721,,1,extrait de vanille
2721,,20,beurre
2721,,25,sucre
2721,,40,cidre
2721,,5,lait
2721,pincée,1,cannelle
2721,,1,crème chantilly
2722,,700,sucre en poudre
2722,,1,eau
2722,,5,vin rosé
2723,,,café
2723,sachet,1,sucre vanillé
2723,verre,1,lait
2723,,,chocolat en poudre
2724,,700,sucre
2724,,,mûres
2725,,1,sucre semoule
2725,bouteille,1,vin rouge
2725,,1,mûres
2726,,12.5,jus de citron
2726,,12.5,jus d'orange
2726,,12.5,curaçao
2726,,6,sirop de sucre de canne
2726,bouteille,1,champagne
2727,,50,sucre de canne
2727,,70,eau
2727,bouteille,1,citron
2727,,3,eau
2727,,,glaçons
2728,gousse,1,vanille
2728,,300,gingembre
2728,,1,sucre
2728,,1,eau
2728,zeste,,citron
2728,bâton,1,cannelle
2729,,3,martini blanc
2729,,7,vodka
2729,,,olives vertes
2729,,,glaçons
2729,zeste,,citron
2730,,2,figues
2730,,80,sucre
2730,,80,kéfir
2730,,1,citron
2731,cuillère à soupe,1,sucre
2731,demi,1,yaourt
2731,,250,framboises
2731,feuilles,2,menthe
2731,cuillères à soupe,2,lait
2732,cuillère à café,0.5,gingembre
2732,gousse,1,vanille
2732,,2,oranges
2732,,2,bananes
2732,,40,jus d'orange
2732,,1,ananas
2732,cuillère à café,0.5,cannelle
2733,,300,sucre
2733,,1,groseilles
2734,,1,sucre
2734,,1,maïzena
2734,,1,chocolat en poudre
2734,,25,lait
2735,,500,sucre
2735,,25,graines d'anis vert
2735,,1,Alcool
2735,,1,eau
2736,cuillère à soupe,1,sucre en poudre
2736,,4,raisin
2736,,2,jus d'orange
2736,,1,pêche
2736,bouteille,1,citron
2736,bouteille,1,Coulis de fraise
2736,cuillère à soupe,1,sirop
2736,pincée,1,cannelle
2736,,,fruits
2737,cuillère à café,1,miel
2737,,2,clous de girofle
2737,cuillères à soupe,2,sucre roux
2737,,1,orange
2737,,75,cidre
2737,,1,citron
2737,bâton,1,cannelle
2737,pointe,1,anis étoilé
2738,,4,clous de girofle
2738,,1,jus de pomme
2738,pincées,2,cannelle
2739,cuillères à soupe,5,sucre
2739,cuillères à soupe,5,café instantané lyophilisé
2739,cuillères à soupe,5,eau
2739,tasses,2,lait
2740,,2,sucre
2740,,2,framboises
2740,,25,eau
2741,,1,eau
2741,feuilles,30,mélisse
2741,feuilles,30,menthe
2741,,,citron
2742,,750,sucre
2742,,40,lavande
2742,,500,eau
2743,,,sucre
2743,,11,abricots
2743,,20,jus d'orange
2743,,15,eau
2744,pincée,1,gingembre
2744,pincée,1,sel
2744,,15,miel
2744,,500,lait
2744,,15,cacao
2744,,60,eau
2744,,15,cassonade
2744,,3,thé
2744,,1,thé
2744,,1,thé
2745,cuillère à soupe,1,eau de fleur d'oranger
2745,,250,sucre semoule
2745,,400,fleur d'hibiscus
2745,sachets,2,sucre vanillé
2746,,175,sucre
2746,,25,Alcool
2746,,25,eau
2746,,250,framboises
2747,,800,sucre
2747,,1,eau
2747,bonne,1,rose
2748,,3,vodka
2748,,12,jus d'orange
2749,pincée,1,vanille
2749,gousse,1,vanille
2749,,2,oranges
2749,,1,rhum
2749,,50,sirop de sucre de canne
2749,pincée,1,cannelle
2750,bouteille,1,cidre
2750,,,Coulis de fraise
2751,cuillère à café,1,miel
2751,,1,pomme
2751,verre,0.5,lait
2751,,1,glaçons
2752,,1,sucre en poudre
2752,,1,eau
2752,bouquet,1,menthe
2752,,100,fleur d'hibiscus
2753,pincées,5,sucre
2753,,35,eau gazeuse
2753,,25,jus d'orange
2753,,25,pomme
2753,,15,jus d'ananas
2753,demi,1,citron
2754,,15,banane
2754,,1,sucre de canne
2754,,1.5,jus d'ananas
2754,,1,fruits
2754,sachets,8,sucre vanillé
2754,,300,lait en poudre
2754,,4,eau
2755,,75,bière blonde
2755,,75,vin blanc sec
2755,,1,jus de citron
2756,,,gingembre
2756,gousses,6,cardamome
2756,,30,poivre
2756,,15,clous de girofle
2756,,150,café
2756,,24,graines d'anis
2756,,,cannelle
2757,,125,sucre en poudre
2757,,50,Fleurs
2757,,0.5,citron
2757,,12.5,eau
2758,,35,sucre de canne
2758,,35,rhum
2758,,35,jus d'orange
2758,bâton,1,cannelle
2758,,3,girofle
2758,,,citron vert
2759,,,beurre
2759,,,farine
2759,,,chocolat
2759,,,lait
2760,,4,raisin
2760,,1,eau
2761,cuillères à soupe,4,levure de boulanger
2761,cuillères à soupe,10,sucre
2761,,3,eau
2761,,500,pain de seigle
2762,,,sucre
2762,cuillères à soupe,4,lait
2762,cuillère,1,café
2762,,,eau
2762,,3,glaçons
2763,,300,sucre
